Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64447493,03/24/2025 10:46:41 PM,03/24/2025 11:07:15 PM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10027,18 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 11:07:18 PM,11 MANHATTAN,1017190001,MANHATTAN,999341,232509,ONLINE,Marcus Garvey Park,MANHATTAN,,,,,,,,40.80484651053699,-73.94548930106254,"(40.80484651053699, -73.94548930106254)"
64454141,03/24/2025 10:42:54 PM,03/25/2025 04:30:17 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11210,1405 NEW YORK AVENUE,NEW YORK AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,NEW YORK AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/25/2025 04:30:25 AM,17 BROOKLYN,3049810001,BROOKLYN,999427,171853,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63836038096731,-73.94531543431602,"(40.63836038096731, -73.94531543431602)"
64454530,03/24/2025 10:38:11 PM,,DOT,Department of Transportation,Bike Rack,Damaged/Bent/Loose/Leaning,Sidewalk,11210,2918 AVENUE I,AVENUE I,EAST   29 STREET,NOSTRAND AVENUE,EAST   29 STREET,NOSTRAND AVENUE,ADDRESS,BROOKLYN,AVENUE I,,In Progress,,The Department of Transportation (DOT) scheduled the location for repair or maintenance.,03/25/2025 02:58:00 PM,14 BROOKLYN,3075930047,BROOKLYN,998672,168471,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.629078771655344,-73.94804301772672,"(40.629078771655344, -73.94804301772672)"
64451250,03/24/2025 10:37:38 PM,03/26/2025 10:41:00 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10025,72 WEST  108 STREET,WEST  108 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",03/26/2025 12:00:00 AM,07 MANHATTAN,1018430060,MANHATTAN,994963,230842,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80027744603657,-73.96130587664128,"(40.80027744603657, -73.96130587664128)"
64451472,03/24/2025 10:37:09 PM,03/24/2025 10:37:09 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,244 WEST  109 STREET,WEST  109 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  109 STREET,N/A,Closed,,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,04/01/2025 12:35:00 PM,07 MANHATTAN,1018800055,MANHATTAN,993722,231830,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80299065281518,-73.96578683158725,"(40.80299065281518, -73.96578683158725)"
64451213,03/24/2025 10:36:58 PM,03/25/2025 12:28:39 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10025,845 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  100 STREET,WEST  103 STREET,WEST  100 STREET,WEST  103 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/25/2025 12:28:42 AM,07 MANHATTAN,1018360001,MANHATTAN,993959,229428,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79639756165641,-73.96493425316099,"(40.79639756165641, -73.96493425316099)"
64445441,03/24/2025 10:28:45 PM,03/25/2025 12:38:18 AM,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11210,2501 NOSTRAND AVENUE,NOSTRAND AVENUE,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/25/2025 12:38:20 AM,18 BROOKLYN,3076300027,BROOKLYN,999171,166449,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62352798084708,-73.94624978072031,"(40.62352798084708, -73.94624978072031)"
64449830,03/24/2025 10:28:32 PM,03/24/2025 10:35:19 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,330 WEST   95 STREET,WEST   95 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   95 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 10:35:23 PM,07 MANHATTAN,1012530041,MANHATTAN,991197,228948,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79508269493676,-73.97491019376804,"(40.79508269493676, -73.97491019376804)"
64446133,03/24/2025 10:21:59 PM,03/24/2025 11:19:55 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11210,1538 NEW YORK AVENUE,NEW YORK AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,NEW YORK AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/24/2025 11:19:59 PM,17 BROOKLYN,3050070062,BROOKLYN,999513,170729,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.635275093306504,-73.94500810845659,"(40.635275093306504, -73.94500810845659)"
64449845,03/24/2025 10:15:39 PM,03/24/2025 10:45:45 PM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10027,18 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 10:45:49 PM,11 MANHATTAN,1017190001,MANHATTAN,999341,232509,ONLINE,Marcus Garvey Park,MANHATTAN,,,,,,,,40.80484651053699,-73.94548930106254,"(40.80484651053699, -73.94548930106254)"
64451974,03/24/2025 09:31:14 PM,03/24/2025 10:42:48 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,1715 FLATBUSH AVENUE,FLATBUSH AVENUE,EAST   34 STREET,EAST   35 STREET,EAST   34 STREET,EAST   35 STREET,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,03/24/2025 10:42:52 PM,18 BROOKLYN,3075980040,BROOKLYN,1000160,168126,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62812927205245,-73.94268313423284,"(40.62812927205245, -73.94268313423284)"
64453356,03/24/2025 09:29:00 PM,03/25/2025 10:19:00 AM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10016,11 EAST   29 STREET,EAST   29 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,03/25/2025 10:19:00 AM,05 MANHATTAN,1008597501,MANHATTAN,988136,210681,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.744946414604016,-73.98597587253091,"(40.744946414604016, -73.98597587253091)"
64447332,03/24/2025 09:25:56 PM,03/24/2025 09:53:58 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10025,317 WEST   93 STREET,WEST   93 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   93 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 09:54:01 PM,07 MANHATTAN,1012520041,MANHATTAN,991157,228379,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79352097531903,-73.97505524307707,"(40.79352097531903, -73.97505524307707)"
64449849,03/24/2025 09:23:05 PM,03/25/2025 01:47:07 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,203 WEST  131 STREET,WEST  131 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/25/2025 01:47:10 AM,10 MANHATTAN,1019370027,MANHATTAN,999190,235461,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.812949188017875,-73.94602816313397,"(40.812949188017875, -73.94602816313397)"
64451977,03/24/2025 09:23:00 PM,03/25/2025 03:53:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10016,165 MADISON AVENUE,MADISON AVENUE,E 32 ST,E 33 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/25/2025 03:53:00 PM,05 MANHATTAN,1008620051,MANHATTAN,988808,211407,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74693878171096,-73.98355020978512,"(40.74693878171096, -73.98355020978512)"
64454872,03/24/2025 09:13:18 PM,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10025,471 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,07 MANHATTAN,1018430029,MANHATTAN,995469,230310,PHONE,Unspecified,MANHATTAN,,,,,,,,40.798816623379025,-73.95947915197725,"(40.798816623379025, -73.95947915197725)"
64451121,03/24/2025 09:13:18 PM,,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10025,471 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,07 MANHATTAN,1018430029,MANHATTAN,995469,230310,PHONE,Unspecified,MANHATTAN,,,,,,,,40.798816623379025,-73.95947915197725,"(40.798816623379025, -73.95947915197725)"
64450178,03/24/2025 09:13:18 PM,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10025,471 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,07 MANHATTAN,1018430029,MANHATTAN,995469,230310,PHONE,Unspecified,MANHATTAN,,,,,,,,40.798816623379025,-73.95947915197725,"(40.798816623379025, -73.95947915197725)"
64450063,03/24/2025 09:13:18 PM,,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10025,471 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,07 MANHATTAN,1018430029,MANHATTAN,995469,230310,PHONE,Unspecified,MANHATTAN,,,,,,,,40.798816623379025,-73.95947915197725,"(40.798816623379025, -73.95947915197725)"
64449903,03/24/2025 09:13:18 PM,,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10025,471 CENTRAL PARK WEST,CENTRAL PARK WEST,,,,,ADDRESS,NEW YORK,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,07 MANHATTAN,1018430029,MANHATTAN,995469,230310,PHONE,Unspecified,MANHATTAN,,,,,,,,40.798816623379025,-73.95947915197725,"(40.798816623379025, -73.95947915197725)"
64453921,03/24/2025 09:10:10 PM,03/27/2025 09:59:59 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10025,227 WEST  109 STREET,WEST  109 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",03/27/2025 12:00:00 AM,07 MANHATTAN,1018810017,MANHATTAN,993803,231791,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80288352131796,-73.96549431250443,"(40.80288352131796, -73.96549431250443)"
64454684,03/24/2025 09:10:10 PM,03/26/2025 09:45:55 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10025,227 WEST  109 STREET,WEST  109 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,03/26/2025 12:00:00 AM,07 MANHATTAN,1018810017,MANHATTAN,993803,231791,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80288352131796,-73.96549431250443,"(40.80288352131796, -73.96549431250443)"
64450714,03/24/2025 08:50:00 PM,03/25/2025 03:53:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10016,,,,,EAST 33 STREET,MADISON AVENUE,INTERSECTION,MANHATTAN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/25/2025 03:53:00 PM,05 MANHATTAN,,MANHATTAN,988837,211465,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74709796214633,-73.98344550943136,"(40.74709796214633, -73.98344550943136)"
64447264,03/24/2025 08:45:44 PM,03/24/2025 08:50:29 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11210,2601 GLENWOOD ROAD,GLENWOOD ROAD,EAST   26 STREET,AMERSFORT PLACE,EAST   26 STREET,AMERSFORT PLACE,ADDRESS,BROOKLYN,GLENWOOD ROAD,,Closed,,The Police Department issued a summons in response to the complaint.,03/24/2025 08:50:32 PM,14 BROOKLYN,3052470001,BROOKLYN,997609,170101,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.633554443130755,-73.95186937519672,"(40.633554443130755, -73.95186937519672)"
64447283,03/24/2025 08:43:57 PM,03/24/2025 08:50:24 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11210,2601 GLENWOOD ROAD,GLENWOOD ROAD,EAST   26 STREET,AMERSFORT PLACE,EAST   26 STREET,AMERSFORT PLACE,ADDRESS,BROOKLYN,GLENWOOD ROAD,,Closed,,The Police Department issued a summons in response to the complaint.,03/24/2025 08:50:29 PM,14 BROOKLYN,3052470001,BROOKLYN,997609,170101,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.633554443130755,-73.95186937519672,"(40.633554443130755, -73.95186937519672)"
64451035,03/24/2025 08:23:38 PM,03/24/2025 08:31:48 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025,326 WEST   96 STREET,WEST   96 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   96 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/24/2025 08:31:53 PM,07 MANHATTAN,,MANHATTAN,991499,229101,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79550239587463,-73.97381932456608,"(40.79550239587463, -73.97381932456608)"
64454538,03/24/2025 08:17:00 PM,03/26/2025 05:21:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10016,,,,,EAST 34 STREET,MADISON AVENUE,INTERSECTION,MANHATTAN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,03/26/2025 05:21:00 PM,05 MANHATTAN,,MANHATTAN,988972,211708,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74776486500815,-73.98295812360449,"(40.74776486500815, -73.98295812360449)"
64445851,03/24/2025 08:07:58 PM,03/24/2025 10:12:20 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,796 EAST   34 STREET,EAST   34 STREET,BROOKLYN ROAD,FARRAGUT ROAD,BROOKLYN ROAD,FARRAGUT ROAD,ADDRESS,BROOKLYN,EAST   34 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,03/24/2025 10:12:26 PM,17 BROOKLYN,3049970047,BROOKLYN,999735,171337,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63694353822451,-73.94420685756363,"(40.63694353822451, -73.94420685756363)"
64447568,03/24/2025 07:47:57 PM,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11210,1427 FLATBUSH AVENUE,FLATBUSH AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,14 BROOKLYN,3052500011,BROOKLYN,997927,170896,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63573606360285,-73.950722054224,"(40.63573606360285, -73.950722054224)"
64446400,03/24/2025 07:29:37 PM,03/26/2025 02:08:13 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10025,711 WEST END AVENUE,WEST END AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",03/26/2025 12:00:00 AM,07 MANHATTAN,1012530021,MANHATTAN,991484,228686,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79436334562362,-73.97387394597743,"(40.79436334562362, -73.97387394597743)"
64447951,03/24/2025 07:29:18 PM,03/25/2025 11:27:01 AM,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10016,250 EAST   40 STREET,EAST   40 STREET,QUEENS MIDTOWN TUNNEL EXIT,2 AVENUE,QUEENS MIDTOWN TUNNEL EXIT,2 AVENUE,ADDRESS,NEW YORK,EAST   40 STREET,,Closed,,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",03/25/2025 11:27:04 AM,06 MANHATTAN,1009207501,MANHATTAN,991604,212036,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7486633452933,-73.97345877797515,"(40.7486633452933, -73.97345877797515)"
